id,Innovation / Development,Category,type,Now,2020,2020 to 2030,2030,2050,Beyond,Source
Future of Goverment,,,,,,,,,,
Future of Goverment.Artificial intelligence,,,,,,,,,,
Future of Goverment.Artificial intelligence.innovation,,,,,,,,,,
Future of Goverment.Artificial intelligence.innovation.Advanced Robotics,Advanced Robotics,Artificial intelligence,Innovation,"Hundreds of thousands of robots are already in operation in retail and manufacturing.  Next generation collaborative robots, or “co-bots,” that work side by side with workers in factories. Some dangerous jobs are outsourced to robots, e.g. welding, bomb-disposal. ",Robots which can read emotions and converse will become our friends. ,"Home robots help elders with everyday tasks, predict when they need to use the toilet, detect falls & more.",800 million global workers are replaced by robots by 2030. ,,,"Deloitte, CNN, Kellogg, FHI, Business Insider, Guardian"
Future of Goverment.Artificial intelligence.innovation.Commercial AI,Commercial AI,Artificial intelligence,Innovation,"Passive AI. Used for product development, automating rote tasks, improving services, & monitoring employees.","AI Hiring. Increasingly used in HR. Analytics tools are intelligently selecting candidates, identifying employees’ career options, and coaching managers on improving their leadership skills.","AI Assistants. Chatbots & digital assistants interact with job candidates, identify and score video interviews, and understand the sentiment of engagement surveys. ",,,,"Deloitte, Kellogg, FHI, Business Insider"
Future of Goverment.Artificial intelligence.innovation.Computer / machine vision,Computer / machine vision,Artificial intelligence,Innovation,Major user-generated content platforms use computer vision to categorise posts & provide advanced editing options to end-users.,,,Security cameras conduct marketing research on passing consumers. Healthcare scanners help technicians. Guided surgeries are are the norm. Farm equipment increasingly autonomous.,,,"Forbes, VisionOnline"
Future of Goverment.Artificial intelligence.innovation.Machine Learning,Machine Learning,Artificial intelligence,Innovation,"Machine learning is being used gain competitive insights in financial services, healthcare, oil & gas, marketing & sales, & transport. ",,"Intelligent, learning machines mimick human thought process. Used to automate administrative tasks, assist in problem solving etc.",,Machine learning + geonomics results in highly individualized medical treatments.,,"Deloitte, Kellogg, FHI, Business Insider, SAS"
Future of Goverment.Artificial intelligence.innovation.Machine Reading & comprehension,Machine Reading & comprehension,Artificial intelligence,Innovation,,Computers can read documents & answer questions about the content. ,,"AI will be used for answering complex questions: AI systems will read millions of pages, and understand the context. ",,,Microsoft
Future of Goverment.Artificial intelligence.innovation.Natural Language processing,Natural Language processing,Artificial intelligence,Innovation,Smartphones suggest words based on context as we type. Businesses use NLP to explore search terms consumers use & target their advertising. ,Machines that can read and translate any written or spoken language further dissolve cultural and even state boundaries.,,Computers converse fluently in natural language.  Assist citizens to do the same via their mobile devices.,,,"Deloitte, Kellogg, FHI, Business Insider, Forbes"
Future of Goverment.Climate,,,,,,,,,,
Future of Goverment.Climate.development,,,,,,,,,,
Future of Goverment.Climate.development.Climate engineering,Climate engineering,Climate,Development,,,,,"Carbon capture, land weathering, ocean fertisilation - massive, costly bio-engineering projects implemented on a global scale - costing trillions of dollars, required to drawdown gigatons of surplus carbon dioxide from the atmosphere.",,KMPG
Future of Goverment.Climate.development.Climate Legislation,Climate Legislation,Climate,Development,,"Supranational and national bodies further legislate on emissions. Single use plastic bans, new ecological building standards, arcology becomes the legislative norm.","Adaptive GAction. Policy on climate change switches from ineffective top-down system of IPCC initiatives to a bottom-up approach, engaging all levels of power and acting locally.","Government regulations shift from 'informing & advising' to 'banning & penalizing'. Regulations to include, for example, restricting water, food, energy during stress events, phasing out high energy consuming tech, banning older cars, banning plastic bags, requiring construction to meet energy efficiency standards etc. ","""Growth within limits"" is the inward developmental mindset necessary to reduce our ecological footprint.",Businesses cannot operate unless they are sustainable at their core.,"St. Anthony's International Review, KMPG, Deloitte"
Future of Goverment.Climate.development.Declining natural resources,Declining natural resources,Climate,Development,,"Top priority area for WEF, UN etc. ",Food prices predicted to double between 2010 and 2030,40% global gap between water supply and demand by 2030,Military-led responses to natural disasters become the norm. ,,"Deloitte, PWC, Humanitarian Practice Network, KMPG"
Future of Goverment.Climate.innovation,,,,,,,,,,
